trackName,artistName,TotalMinutes
Don't Shut Me Down,ABBA,39.8
Didn't Cha Know,Erykah Badu,39.79
Evil Ways,Santana,39.75
bad idea!,girl in red,39.73
"Sos, Ciuchy I Borciuchy",Kaz Bałagane,39.63
Just the Two of Us,"Grover Washington, Jr.",39.52
Nie Kłami - Live,Dawid Podsiadło,39.43
It Makes You Forget (Itgehane) - Edit,Peggy Gou,39.36
Hack3d By GH05T 2.0,PRO8L3M,39.35
If I Should Lose You,Nina Simone,39.29
2080,Malik Djoudi,39.28
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,39.27
Do For Love,2Pac,39.17
QUEENS,The Blaze,39.11
Bars. 16,Steve Lacy,39.09
3005,Childish Gambino,39.04
Mło(dość),Lor,38.99
"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",Amy Winehouse,38.96
Je T’appelle,Miel De Montagne,38.95
Money,The Drums,38.94
Controller,Blouse,38.92
It Never Rains in Southern California,Albert Hammond,38.92
"Rêverie, L. 68",Claude Debussy,38.9
Run To You,Bryan Adams,38.88
Deszcz,L.U.C.,38.84
Mirage,Orion Sun,38.75
Melancholie,Ralph Kaminski,38.68
