endTime,artistName,trackName,msPlayed,district
2023-12-18 11:21:00,Orion Sun,Antidote,169822,Śródmieście
2023-12-18 11:24:00,Hotel Ugly,Mikey and the Frogs,190535,Śródmieście
2023-12-18 11:27:00,Men I Trust,All Night,188468,Śródmieście
2023-12-18 11:31:00,The Marías,Over the Moon,182900,Śródmieście
2023-12-18 11:32:00,Steve Lacy,Only If,100562,Śródmieście
2023-12-18 11:34:00,Pity Party (Girls Club),I hope that you think of me,128000,Śródmieście
2023-12-18 11:36:00,Matt Maltese,Intolewd,79989,Śródmieście
2023-12-18 11:38:00,Vundabar,Alien Blues,155933,Śródmieście
2023-12-18 11:42:00,Mac DeMarco,Heart To Heart,211140,Śródmieście
2023-12-18 11:43:00,Steve Lacy,Atomic Vomit,90000,Śródmieście
2023-12-18 11:45:00,Men I Trust,Numb,120807,Śródmieście
2023-12-18 11:48:00,Mother Mother,Verbatim,168320,Śródmieście
2023-12-18 11:51:00,Mother Mother,Forgotten Souls,175736,Śródmieście
2023-12-18 11:52:00,Tally Hall,A Lady,64973,Śródmieście
2023-12-18 11:54:00,girl in red,4am,110861,Śródmieście
2023-12-18 11:56:00,Eyedress,Romantic Lover,86739,Śródmieście
2023-12-18 11:58:00,Sir Chloe,Too Close,170575,Śródmieście
2023-12-18 12:01:00,Mother Mother,Hayloft,181680,Śródmieście
2023-12-18 12:05:00,Mitski,Nobody,193429,Śródmieście
2023-12-18 12:07:00,Tally Hall,Hidden In the Sand,112960,Śródmieście
2023-12-18 12:09:00,Arctic Monkeys,Why'd You Only Call Me When You're High?,161123,Śródmieście
2023-12-18 12:12:00,girl in red,summer depression,151693,Śródmieście
2023-12-18 12:15:00,Mother Mother,Back To Life,165026,Śródmieście
2023-12-18 12:17:00,Sir Chloe,Walk You Home,168364,Śródmieście
2023-12-18 12:21:00,The Neighbourhood,Wires,193080,Śródmieście
2023-12-18 12:24:00,Gorillaz,She's My Collar (feat. Kali Uchis),209560,Śródmieście
2023-12-18 12:27:00,TV Girl,Not Allowed,167864,Śródmieście
2023-12-18 12:30:00,Mother Mother,Until It Doesn’t Hurt,175174,Śródmieście
